state,state_abb,year,total_revenue,revenue_general_revenue,revenue_intergovernment_revenue,revenue_total_taxes,revenue_general_sales,revenue_selective_sales,revenue_license_taxes,revenue_individual_income_taxes,revenue_corporate_income_taxes,revenue_other_taxes,revenue_current_charges,revenue_misc_general_revenue,revenue_utility_revenue,revenue_liquor_stores_revenue,revenue_insurance_trust_revenue,total_expenditure,expend_intergovernment_expend,expenditure_direct_expenditure,expenditure_current_operations,expenditure_capital_outlay,expend_insurance_benefits_repay,expend_assistance_and_subsidies,expenditure_interest_on_debt,expend_exhibit_salaries_wages,total_general_expenditure,expend_intergov_general_expend,expend_direct_general_expend,expenditure_education,expenditure_public_welfare,expenditure_hospitals,expenditure_health,expenditure_highways,expenditure_police_protection,expenditure_correction,expenditure_natural_resources,expenditure_parks_and_recreation,expend_government_administration,expend_interest_on_general_debt,expend_other_and_unallocable,expenditure_utility_expenditure,expenditure_liquor_stores,expenditure_insurance_trust,debt_at_end_of_fiscal_year,cash_and_security_holdings
indiana,IN,2006,32854548,29603636,7270493,13625667,5334275,2239657,468890,4381548,1043873,157424,6861100,1846376,0,0,3250912,26806351,7817176,18989175,13971623,1665979,1964216,629505,757852,2964737,24803466,7817176,16986290,9882524,6211270,261940,542353,1620751,200246,627610,293682,59698,584922,757852,3760618,38669,0,1964216,17310700,55979644
indiana,IN,2005,27122339,24262866,6949410,12853976,5001049,2194124,467002,4213480,824802,153519,2796977,1662503,0,0,2859473,26362908,7876764,18486144,13624146,1687482,1853581,589243,731692,2959636,24473457,7876764,16596693,9470593,5875844,281297,587909,1904241,235532,678587,265346,76963,634772,731692,3730681,35870,0,1853581,14948398,43957750
indiana,IN,2004,26950195,23497723,7057449,11957470,4759445,2147509,448387,3807861,644787,149481,2674048,1808756,0,0,3452472,25487654,7963397,17524257,13033239,1700913,1791377,455884,542844,3461530,23657294,7963397,15693897,9041115,5675769,284348,590479,1923978,226051,675194,269222,63291,616317,542844,3748686,38983,0,1791377,14698171,41174210
indiana,IN,2003,24553393,21674754,6346679,11216456,4210262,2014361,415373,3644159,729164,203137,2512554,1599065,0,0,2878639,23089940,6760945,16328995,12176868,1534104,1763884,406708,447431,3335114,21295408,6760945,14534463,8639690,5377805,282438,545088,1712840,196066,654475,277385,50581,521250,447431,2590359,30648,0,1763884,11853847,33490856
indiana,IN,2002,20116042,20010507,6027699,10200590,3798490,1626157,376883,3540819,709412,148829,2287413,1494805,NA,NA,105535,22205168,6556774,15648394,11670111,1611798,1620456,348586,397443,3125020,20584712,6556774,14027938,7930896,5124522,268447,557640,1569976,200006,640711,285590,47645,767851,397443,2793985,NA,NA,1620456,9455859,32638729
indiana,IN,2001,20766968,19737963,5595841,10115870,3606008,1425141,311077,3779805,825017,168822,2406861,1619391,0,0,1029005,21583665,7052415,14531250,10799161,1714612,1328434,281006,408037,2903705,20255231,7052415,13202816,8160202,4346855,256527,529616,2149143,240440,613036,228565,77747,599004,408037,2646059,0,0,1328434,8517915,33417332
indiana,IN,2000,20456388,18856533,4951602,10104353,3579416,1457273,245323,3753339,924623,144379,2280731,1519847,0,0,1599855,20289362,6735704,13553658,10155704,1640750,1101551,283105,372548,2665019,19187811,6735704,12452107,7733431,4046412,239184,491217,2006791,202245,554995,223098,80118,600373,372548,2637399,0,0,1101551,7894464,34108232
indiana,IN,1999,19149062,17728891,4480507,9736077,3308186,1367876,217964,3699316,989627,153108,2119593,1392714,0,0,1420171,18613822,6247767,12366055,9315556,1319909,1176509,247147,306934,2728394,17437313,6247767,11189546,7160843,3728208,217824,445593,1880545,181763,487560,194978,64369,424385,306934,2344311,0,0,1176509,7056410,29170846
indiana,IN,1998,18507747,17112711,3943070,9747426,3156272,1252525,216632,4065074,928218,128705,2075233,1346982,0,0,1395036,17223182,5883074,11340108,8658561,1223934,945097,222824,289692,2605913,16278085,5883074,10395011,6833269,3298261,216860,421808,1721220,179143,447358,167774,57826,435247,289692,2209627,0,0,945097,6704287,26046982
indiana,IN,1997,17536856,15991546,3859176,9100842,3042874,1088980,193720,3750826,904265,120177,1783477,1248051,0,0,1545310,16370436,5507860,10862576,8140034,1248981,970217,215206,288138,2479639,15400219,5507860,9892359,6410821,3221243,227424,406647,1648038,152953,418649,162330,58349,372024,288138,2033603,0,0,970217,6140051,23268867
indiana,IN,1996,16549937,15064948,3750143,8437031,2867644,893637,201776,3477970,894403,101601,1677805,1199969,0,0,1484989,15367687,5091091,10276596,7561996,1277462,945556,221001,270581,2362751,14422131,5091091,9331040,6141653,3155092,206466,401790,1532451,145747,377538,159810,43223,343103,270581,1644677,0,0,945556,6116873,21812944
indiana,IN,1995,16260515,14848073,3438489,8045753,2709816,866068,228396,3257299,874305,109869,2032941,1330890,0,0,1412442,15284083,5114661,10169422,7718322,1006487,958264,200903,285446,2389786,14325819,5114661,9211158,5840259,3207087,489102,381005,1398483,118618,350901,154245,36089,332933,285446,1731863,0,0,958264,5456751,19549771
indiana,IN,1994,15813467,14486178,4238375,7283449,2505874,847916,205670,3015729,606169,102091,1917091,1047263,0,0,1327289,15048020,4594808,10453212,8307158,957049,711338,173986,303681,2282401,14336682,4594808,9741874,5449388,3910670,530071,346970,1347306,115189,329663,137639,30153,320687,303681,1515323,0,0,711338,5572485,20523328
indiana,IN,1993,14673154,13485006,3823145,6915288,2300233,847984,198129,2806780,656228,105934,1798402,948171,0,0,1188148,14136343,4385769,9750574,7539094,1046810,656238,175481,332951,2310515,13480105,4385769,9094336,5138552,3390208,506971,334833,1369779,110190,321107,142751,30998,331314,332951,1470507,0,0,656238,5458015,17526435
indiana,IN,1992,13977004,12752021,3203811,6963139,2590600,813285,206076,2588916,672100,92162,1662442,922629,0,0,1224983,12340722,3677893,8662829,6523585,970708,649352,164481,354703,2154978,11691370,3677893,8013477,4652761,2621020,519914,333319,1078475,90726,321025,135944,26102,339128,354703,1218253,0,0,649352,5171670,15619533
iowa,IA,2018,28867827,24072068,6075843,10088480,3279789,1407284,954503,3897236,443187,106481,3868550,4039195,NA,320530,4475229,23877036,5373071,18503965,13134266,1830005,2701242,623092,215360,3527619,20952954,5373071,15579883,7371352,6260575,2220166,213207,2375686,106324,282045,306130,28170,610017,215360,714086,46946,222840,2701242,6270052,25793525
iowa,IA,2017,26798284,21134343,6245956,9755430,3205997,1407088,947549,3655462,432020,107314,3619516,1513441,0,306174,5357767,23251836,5505683,17746153,12246043,2043786,2629519,620231,206574,3573499,20409385,5505683,14903702,7282938,6010233,1887069,275215,2304141,104622,288880,294582,31175,598565,206574,1125391,0,212932,2629519,6149694,44122139
iowa,IA,2016,23715865,21074247,6645648,9559058,3162854,1430472,925958,3553325,376865,109584,3502827,1366714,0,290651,2350967,23731772,5470729,18261043,12881622,2058930,2520429,593571,206491,3425661,21010971,5470729,15540242,7524562,6500571,1784719,264957,2178645,102930,294576,295745,33352,578370,206491,1246053,0,200372,2520429,5956424,42462384
iowa,IA,2015,23478092,20317912,6547949,9187483,3040627,1228001,874778,3471617,463238,109222,3263620,1318860,0,280834,2879346,22760938,5225016,17535922,12307776,2040995,2388037,582635,216479,3352708,20180612,5225016,14955596,7118769,6223107,1751476,261541,2076439,102012,293600,305572,34182,576090,216479,1221345,0,192289,2388037,6120464,43292850
iowa,IA,2014,25497318,19189794,6218631,8572532,2959924,1112707,808047,3197578,388699,105577,3096274,1302357,0,265900,6041624,21385336,4963899,16421437,11405834,1772918,2434288,573661,234736,3283687,18768803,4963899,13804904,6796581,5546669,1623375,259785,1821712,100677,294937,304771,32972,584171,234736,1168417,0,182245,2434288,6343482,42898590
iowa,IA,2013,23399995,18809773,5991401,8681675,2827371,1088919,798137,3436758,428554,101936,2908758,1227939,0,258676,4331546,20517934,4753646,15764288,10900406,1619526,2440770,557861,245725,3195874,17901551,4753646,13147905,6469134,5265106,1519773,256786,1658218,96322,334893,295335,31074,550671,245725,1178514,0,175613,2440770,6679143,40606486
iowa,IA,2012,21079797,18357465,6362157,7932494,2523266,1109651,751627,3029709,425776,92465,2816563,1246251,0,245991,2476341,20407524,4804976,15602548,10586846,1753138,2474679,534080,253805,2630298,17767423,4804976,12962447,6273695,5109297,1508973,250487,1770222,99515,378954,340824,28693,522486,253805,1230472,0,165422,2474679,6166080,37989795
iowa,IA,2011,23988697,17997312,6943942,7236476,2232028,1094387,731560,2851449,250272,76780,2629644,1187250,0,213972,5777413,19929621,5151627,14777994,9977444,1449045,2571457,536240,243808,2402356,17211454,5151627,12059827,6269650,4900757,1090080,252373,1590730,96692,332291,314102,24953,551375,243808,1544643,0,146710,2571457,7573811,35356891
iowa,IA,2010,21078589,17029279,6659209,6809344,2121842,1063729,700707,2650037,192138,80891,2416841,1143885,0,213972,3835338,19108896,4528319,14580577,9552390,1602122,2655772,519909,250384,2377335,16306414,4528319,11778095,5946941,4662116,1083134,265724,1796979,88139,289856,302230,31684,539656,250384,1049571,0,146710,2655772,7397936,30971251
iowa,IA,2009,13207715,16246355,5670077,6985090,2201396,1070780,658939,2703190,264365,86420,2421550,1169638,0,208053,-3246693,18303986,4660802,13643184,9280109,1614519,1990046,505797,252713,2442092,16172418,4660802,11511616,6147569,4263942,1193593,262034,1613728,97987,292609,323176,41899,574879,252713,1108289,0,141522,1990046,6353306,27085348
iowa,IA,2008,15939935,15013528,4630352,6892041,1840862,1119705,639779,2848393,347248,96054,2180781,1310354,0,191867,734540,16558941,4142960,12415981,8751216,1185695,1593778,493304,391988,2301969,14830301,4142960,10687341,5790799,3904781,1092682,240951,1381730,96991,291406,288799,61112,554993,391988,734069,0,134862,1593778,7235998,34409200
iowa,IA,2007,19053312,14119773,4378744,6469752,1786668,980958,615343,2666601,325077,95105,2064465,1206812,0,180251,4753288,15461766,3892136,11569630,7977492,1292035,1495901,464646,339556,2137369,13842578,3892136,9950442,5353934,3612004,1021701,229321,1445447,94776,259104,255776,37251,513798,339556,679910,0,123287,1495901,6727065,34976567
iowa,IA,2006,16808578,13434028,4296014,6118897,1800829,931427,598155,2413775,284976,89735,2017249,1001868,544,163371,3210635,14941961,3881967,11059994,7879931,1281550,1360853,276515,261145,2104806,13470126,3881967,9588159,5176196,3653731,925036,195296,1460885,87138,240624,248021,24035,495961,261145,702058,0,110982,1360853,6598342,32857967
iowa,IA,2005,15631304,12526815,4104190,5750629,1721763,905689,589192,2254107,186469,93409,1826106,845890,520,149120,2954849,13897962,3642335,10255627,7296038,1185582,1305497,272444,196066,2188308,12490212,3642335,8847877,4844083,3290761,893198,186314,1420787,79795,227377,234451,20410,472178,196066,624792,1104,101149,1305497,4930582,29155334
iowa,IA,2004,15363015,11916703,4038220,5214602,1617505,891294,575515,1958697,89826,81765,1776175,887706,410,135957,3309945,13424350,3529971,9894379,7063915,1103983,1299364,265644,161473,2299205,12031051,3529971,8501080,4670535,3112742,898849,195740,1365758,71393,219859,224415,20330,470965,161473,618992,855,93080,1299364,4857614,27063116
iowa,IA,2003,12972701,11096904,3534400,4922455,1589917,779069,537574,1791129,140031,84735,1530512,1109537,0,123297,1752500,13088000,3442552,9645448,6887136,1074918,1288873,272050,122471,2440167,11714669,3442552,8272117,4589923,2795400,759789,241311,1356482,86332,294911,243227,23027,503328,122471,698468,0,84458,1288873,4279448,25147636
iowa,IA,2002,11130351,11025846,3445261,5006251,1747016,791468,519787,1769347,88310,90323,1452427,1121907,NA,115927,-11422,12720752,3326499,9394253,6718141,1072701,1206060,274217,123134,2402008,11435526,3326499,8109027,4576530,2617128,724555,233740,1360300,86461,288666,267444,25468,497392,123134,634708,NA,79166,1206060,3712920,21725404
iowa,IA,2001,10255453,10329425,2892204,5158780,1756167,753558,496498,1888847,166745,96965,1373551,904890,0,112227,-186199,12271461,3284057,8987404,6627242,971304,994426,260648,133784,2588195,11198506,3284057,7914449,4397048,2593005,726692,223521,1331514,84809,291914,291401,26741,461390,133784,636687,0,78529,994426,2542400,23064143
iowa,IA,2000,11339509,9891815,2730827,5185394,1722836,755747,492575,1890427,214605,109204,1239071,736523,0,107421,1340273,11453109,3211878,8241231,5895862,1107104,858657,248323,131285,2352906,10520387,3211878,7308509,4180513,2195661,655221,221934,1423903,81034,279196,255742,25716,418711,131285,651471,0,74065,858657,2361924,24550901
iowa,IA,1999,11629027,9207794,2467487,4868494,1646052,722445,468933,1715117,234540,81407,1180431,691382,0,99978,2321255,10320512,2872879,7447633,5476901,932935,708736,244015,85046,2286600,9542626,2872879,6669747,3833785,2021711,576783,208163,1188141,75872,255603,229336,23738,392539,85046,651909,0,69150,708736,2472046,22509388
iowa,IA,1998,10029402,8821047,2215812,4802531,1528824,685545,452880,1838498,196841,99943,1113601,689103,0,94066,1114289,9729171,2794519,6934652,5138217,795715,633894,250040,116786,1592413,9030380,2794519,6235861,3744201,1937222,537465,194559,1055929,65801,227326,220096,19672,344800,116786,566523,0,64897,633894,2029300,22073490
iowa,IA,1997,9509064,8360300,2007968,4686244,1500162,728269,421385,1719566,221041,95821,1055655,610433,0,90005,1058759,9347768,2869259,6478509,4674318,758059,663584,268090,114458,1694243,8621990,2869259,5752731,3594533,1737531,493587,185579,1094526,58567,200491,212175,18205,311779,114458,600559,0,62194,663584,2013891,18888500
iowa,IA,1996,9244859,8133204,2139113,4440540,1456221,691299,414215,1588052,202929,87824,979409,574142,0,87338,1024317,8853150,2672320,6180830,4436969,736516,609943,272401,125001,1632767,8182909,2672320,5510589,3262640,1710357,518934,178610,1046032,60942,184142,203593,17237,302827,125001,572594,0,60298,609943,2064507,12990230
iowa,IA,1995,9268151,8087497,2188545,4403428,1462892,603587,402385,1617498,220675,96391,967475,528049,0,83570,1097084,8585952,2586535,5999417,4291153,696800,612302,282800,116362,1684189,7915760,2586535,5329225,3167192,1650154,524657,188800,978631,53816,176666,203124,19232,287919,116362,549207,0,57890,612302,2110974,11582094
iowa,IA,1994,8960747,7619377,2038830,4130450,1388742,576356,385897,1509125,174285,96045,917614,532483,0,83861,1257509,8101063,2461697,5639366,4042168,678442,503737,286869,128150,1873808,7539444,2461697,5077747,3028246,1532381,492096,165327,912849,51218,163190,197165,16523,260001,128150,592298,0,57882,503737,1990295,10742635
iowa,IA,1993,8224098,7123434,1888764,3901719,1251900,554647,377423,1467019,167046,83684,849052,483899,0,83882,1016782,7766918,2287463,5479455,3879796,692624,510183,274481,122371,1729159,7198836,2287463,4911373,2816042,1513737,509271,150963,915617,48375,157922,179591,16932,249660,122371,518355,0,57899,510183,1837018,9360346
iowa,IA,1992,7534802,6534101,1651321,3616444,1010228,560396,358108,1410926,192818,83968,812182,454154,0,84197,916504,7196808,2160539,5036269,3466682,711905,457148,268281,132253,1638938,6681337,2160539,4520798,2649186,1305649,473312,116473,949347,44335,136751,180637,17808,221051,132253,454535,0,58323,457148,1883987,8689155
kansas,KS,2018,21877508,19078088,4072601,9546790,3304091,1190718,433229,3413677,437967,767108,4185004,1273693,NA,NA,2799420,19572429,5030280,14542149,11206738,1016388,1940239,213140,165644,2959691,17632190,5030280,12601910,7482546,4187002,2682388,408999,987051,109890,350498,224604,44140,484466,165644,410865,NA,NA,1940239,6136579,16091719
kansas,KS,2017,21425762,17685552,4160844,8173821,3209506,1092059,421080,2327652,386966,736558,4118746,1232141,NA,NA,3740210,19597970,4860179,14737791,10931043,1505017,1912827,208775,180129,2951778,17685143,4860179,12824964,7402958,4101965,2681576,397821,1239281,111385,350931,224912,38835,474356,180129,480994,NA,NA,1912827,7538475,24066258
kansas,KS,2016,17609012,16459697,3828203,8058949,3240354,1084599,396648,2231902,391877,713569,3452928,1119617,NA,NA,1149315,18748723,4799630,13949093,10222601,1411421,1892459,248499,174113,2849650,16856264,4799630,12056634,7246839,4150491,2018521,201042,1336182,100614,355523,239692,39714,438922,174113,554611,NA,NA,1892459,9537833,23300641
kansas,KS,2015,17950851,16122662,3948181,7883960,3052986,924820,378193,2262951,458306,806704,3231057,1059464,0,0,1828189,18043289,4849983,13193306,9755053,1131153,1972913,158368,175819,2629912,16070376,4849983,11220393,6999820,3986056,1712018,131796,1298356,101829,360900,231629,38259,430112,175819,603782,0,0,1972913,7581462,23972103
kansas,KS,2014,19012887,15391445,3975772,7334481,2983664,907236,395454,2511660,330181,206286,3041825,1039367,0,0,3621442,16943301,4108481,12834820,9637573,967095,1844928,159324,225900,2604800,15098373,4108481,10989892,6142180,3792296,1597269,362946,1201433,98192,356038,233164,39011,419125,225900,630819,0,0,1844928,6849316,22572158
kansas,KS,2013,18008877,15241590,3845073,7615894,2897033,845883,378633,2956588,384553,153204,2781722,998901,0,0,2767287,16436706,4057504,12379202,8991368,1089440,1920842,162307,215245,2581315,14515864,4057504,10458360,6057156,3386863,1556542,356630,1181586,105054,347040,231678,39481,411604,215245,626985,0,0,1920842,6825293,19908397
kansas,KS,2012,16144318,15068811,4099551,7418341,2825880,859715,315411,2891743,317578,208014,2593796,957123,0,0,1075507,16747356,3953778,12793578,9155836,1098784,2097277,171459,270222,3527202,14650079,3953778,10696301,6027749,3447299,1413684,401351,1297323,99829,331421,235711,33341,446830,270222,645319,0,0,2097277,6860094,19264960
kansas,KS,2011,18582208,14988220,4940903,6797501,2487499,845468,333916,2689843,246518,194257,2369426,880390,0,0,3593988,16686643,4208664,12477979,8756128,1088586,2159915,201483,271867,3477748,14526728,4208664,10318064,5966159,3530709,1227935,322888,1238789,99073,341552,216091,34783,456464,271867,820418,0,0,2159915,6893030,18543512
kansas,KS,2010,16538168,14215169,4624104,6492996,2150270,812404,304342,2687542,352419,186019,2200168,897901,0,0,2322999,16583949,4176958,12406991,8429435,1019106,2408383,208907,341160,3580372,14175566,4176958,9998608,5917771,3341973,1075513,233815,1176849,108573,341998,210172,31774,525924,341160,870044,0,0,2408383,6509409,15920138
kansas,KS,2009,11654910,13575933,3815931,6694630,2227183,817721,301953,2731559,370889,245325,2182508,882864,0,0,-1921023,15832222,4314940,11517282,8163777,1135684,1676368,194699,346754,3189772,14155854,4314940,9840914,6013798,3282069,1002199,249872,1244991,110155,358672,230085,33566,456186,346754,827507,0,0,1676368,5857295,14909232
kansas,KS,2008,13541510,13504781,3495517,7159748,2264747,826474,303696,2944851,528011,291969,1989970,859546,0,0,36729,14968812,4214475,10754337,7811768,1107285,1323310,177505,334469,3174710,13645502,4214475,9431027,5750358,3167907,973004,252179,1213980,110231,361648,205394,37074,459166,334469,780092,0,0,1323310,5836651,18477838
kansas,KS,2007,15605130,12610444,3156389,6893359,2242025,815004,302685,2744934,527427,261284,1796939,763757,0,0,2994686,13824469,3869984,9954485,7111576,1161899,1201935,171658,307417,3181738,12622534,3869984,8752550,5329513,2970898,928087,179841,1240990,108582,317649,200351,30068,429297,307417,579841,0,0,1201935,5893923,22256339
kansas,KS,2006,13550648,11383861,3289514,6275075,2127597,806811,291600,2401128,381259,266680,1127718,691554,0,0,2166787,12485122,3594505,8890617,6321264,1054791,1113553,182229,218780,2876580,11371569,3594505,7777064,5040680,2821467,252660,184953,1254546,120276,313137,190681,25894,442281,218780,506214,0,0,1113553,5728079,17664928
kansas,KS,2005,12521726,10548945,3188056,5637807,2005188,785933,291142,2079782,248085,227677,1031306,691776,0,0,1972781,11765208,3281217,8483991,5973004,1031299,1056987,183848,238853,2546004,10708221,3281217,7427004,4640186,2711174,250161,185739,1220276,100289,298049,183914,22262,385056,238853,472262,0,0,1056987,5117077,14979143
kansas,KS,2004,11077275,9902085,2962444,5283676,1932927,790225,274619,1915530,166609,203766,937030,718935,0,0,1175190,11362755,3123152,8239603,5772104,1032362,1104320,164411,166406,2269412,10258435,3123152,7135283,4564743,2475046,107780,287430,1225504,74193,316669,185658,7466,420302,166406,427238,0,0,1104320,4571893,13982313
kansas,KS,2003,10401734,9752078,3266719,5008411,1888543,775840,256372,1776884,124519,186253,808541,668407,0,0,649656,10954011,2925220,8028791,5663264,869012,1110628,256911,128976,1605346,9843383,2925220,6918163,4210861,1905638,102323,524233,1094228,72321,336268,184607,6072,533689,128976,744167,0,0,1110628,2471939,12194362
kansas,KS,2002,9694312,9179259,2991803,4808361,1799485,632661,229968,1854848,121931,169468,668669,710426,NA,NA,515053,10591633,2971413,7620220,5362456,898180,974311,258460,126813,1598382,9617322,2971413,6645909,3987803,1986407,104270,503625,1130728,63403,326372,179368,5416,502328,126813,700789,NA,NA,974311,2288355,11717368
kansas,KS,2001,8713237,9026660,2659435,4986955,1745023,582106,227332,1988460,236723,207311,675588,704682,0,0,-313423,10196910,2953527,7243383,5314730,774175,790942,243602,119934,1503000,9405968,2953527,6452441,4014202,1643119,102742,469867,1228570,53358,336495,158159,4848,630540,119934,644134,0,0,790942,2183859,12416169
kansas,KS,2000,10393893,8561390,2401468,4848235,1741217,562650,236789,1861610,272432,173537,645335,666352,0,0,1832503,9123858,2853333,6270525,4483058,870778,747689,122357,46643,1466879,8376169,2853333,5522836,3712961,1316210,101323,348655,1354907,53008,317890,171527,7555,541301,46643,404189,0,0,747689,1911825,12028756
kansas,KS,1999,8687125,7597365,1885254,4589475,1686570,552242,233681,1696275,253840,166867,648351,474285,0,0,1089760,8370653,2806135,5564518,3895467,831062,693007,125398,19584,1424383,7677646,2806135,4871511,3718056,1256986,163038,342450,959530,46278,268841,169122,6761,305298,19584,421702,0,0,693007,1482318,10327501
kansas,KS,1998,8443997,7784967,1862929,4661846,1619246,571175,213835,1743983,305914,207693,769648,490544,0,0,659030,7681014,2508870,5172144,3552824,766392,640851,133281,78796,1415457,7040163,2508870,4531293,3237140,1092556,285042,293522,936852,45021,254981,158056,6187,263244,78796,388766,0,0,640851,1411135,10057248
kansas,KS,1997,7949762,7264375,1839813,4229721,1475825,531227,211755,1512816,291080,207018,754594,440247,0,0,685387,7496081,2325562,5170519,3526523,793521,621381,157644,71450,1383492,6874700,2325562,4549138,3037234,1124166,303263,301760,1013022,41166,206167,165039,5856,253821,71450,351756,0,0,621381,1211295,8825615
kansas,KS,1996,7864247,6891680,1694054,3978761,1401023,529877,203098,1377253,254873,212637,728739,490126,0,0,972567,7275754,2262900,5012854,3313333,838590,595943,193092,71896,1396107,6679811,2262900,4416911,2960968,1101686,321986,242856,995807,40085,195443,159063,5367,239657,71896,344997,0,0,595943,1161470,7556640
kansas,KS,1995,7374389,6494718,1599300,3765488,1379070,515862,199053,1232989,261408,177106,705933,423997,0,0,879671,7116429,2205990,4910439,3288523,686828,656511,207783,70794,1367431,6459918,2205990,4253928,2875589,1212378,328782,185520,828450,41428,191416,149044,8957,232695,70794,334865,0,0,656511,1145493,7434544
kansas,KS,1994,7473938,6462587,1714555,3674816,1297170,513293,186119,1194328,254892,229014,660370,412846,0,0,1011351,6654192,2114401,4539791,3148967,567756,562240,200811,60017,1307038,6091952,2114401,3977551,2733678,1095207,328245,185118,763618,40692,181112,135275,7055,221166,60017,340769,0,0,562240,1103280,6761727
kansas,KS,1993,6756749,5863061,1648886,3302928,1191466,476774,181004,1040385,219074,194225,603471,307776,0,0,893688,5742465,1670354,4072111,2886685,467173,467687,205240,45326,1243754,5274778,1670354,3604424,2270450,981751,306831,154432,653777,38941,178540,127839,8216,217958,45326,290717,0,0,467687,935488,6545269
kansas,KS,1992,5776111,4967838,1359425,2801692,958165,460426,174975,833756,198998,175372,582536,224185,0,0,808273,5484122,1440836,4043286,2706654,674153,432371,189200,40908,1187891,5051751,1440836,3610915,2197864,890373,290204,148918,649159,34108,189460,125394,7999,212597,40908,264767,0,0,432371,485787,5411863
kentucky,KY,2018,34510574,29299781,11970566,12059970,3600598,2113829,499502,4499086,511353,835602,3991890,1277355,NA,NA,5210793,35312518,4890345,30422173,21918436,2038511,4649330,1150992,664904,4425025,30635111,4890345,25744766,10274643,11926347,1959379,381994,1801953,215850,609697,429366,119410,1015514,664904,1138796,56455,4661,4649330,14617245,30088192
kentucky,KY,2017,33778547,27713601,10829538,11907759,3490639,2159069,500447,4394185,458650,904769,3907379,1068925,0,NA,6064946,36311322,5713675,30597647,22121787,2175833,4550003,1104855,645169,4373700,31724376,5713675,26010701,11263480,11508013,1894482,500808,1996782,274012,666606,396106,128387,1188743,645169,1261788,31081,5862,4550003,14403514,41000955
kentucky,KY,2016,29941369,28222220,11579669,11778866,3462704,2140416,505377,4282080,606840,781449,3684666,1179019,0,NA,1719149,35347118,4785754,30561364,21995960,2431274,4396382,1083914,653834,4323891,30919288,4785754,26133534,10371844,11265798,1865675,481814,2414369,248820,631663,438325,126847,1144131,653834,1276168,25738,5710,4396382,14453423,39481499
kentucky,KY,2015,30059829,26633530,10559736,11597983,3267331,2183120,487834,4069501,751910,838287,3419193,1056618,0,0,3426299,33376672,4709948,28666724,20382646,2445191,4263050,923704,652133,4217499,29113622,4709948,24403674,9681710,10918824,1422065,643581,2732030,195408,532798,338503,99791,882241,652133,1014538,0,0,4263050,13784882,42027997
kentucky,KY,2014,31507525,25268291,9768931,11103545,3131157,2222967,472225,3749258,674464,853474,3127988,1267827,0,0,6239234,30117385,4649395,25467990,17534553,2135196,4199381,925106,673754,4082844,25890312,4649395,21240917,9318308,8350165,1286830,716289,2525651,187287,523674,324755,94536,914471,673754,974592,27692,0,4199381,14829986,40825712
kentucky,KY,2013,28696251,22985691,8083482,10875039,3021794,2147747,462726,3722964,646875,872933,2881246,1145924,0,0,5710560,28887783,4802691,24085092,16123500,1968741,4403821,896380,692650,3923830,24457976,4802691,19655285,9453475,7083731,1132362,691179,2365583,197374,532134,333797,99115,878640,692650,997936,25986,0,4403821,14983712,38512998
kentucky,KY,2012,25683865,22574396,8088953,10505794,3052236,1982341,463793,3512075,575164,920185,2788564,1191085,0,0,3109469,29349094,5029106,24319988,16111059,1943755,4704138,852460,708576,3908659,24644956,5029106,19615850,9539824,7277235,1161717,702858,2236818,184188,512669,325438,97273,861261,708576,1037099,0,0,4704138,15103515,38822966
kentucky,KY,2011,31051859,23568375,9025194,10198800,2896252,1998095,468543,3417779,516523,901608,3087125,1257256,0,0,7483484,29369940,5069137,24300803,16042722,2041224,4693757,831120,691980,3873887,24676183,5069137,19607046,9415111,7334231,1135081,770728,1935661,195356,518890,357155,110142,879616,691980,1332232,0,0,4693757,14751471,38890633
kentucky,KY,2010,27772056,22862247,9149028,9531404,2794057,1890689,434765,3154488,383815,873590,2923695,1258120,0,0,4909809,29097531,5078845,24018686,15726860,2042584,4854204,796931,598107,3805359,24192556,5078845,19113711,9325602,7191181,1180426,729353,1972134,190640,511528,344184,103871,841851,598107,1203679,50771,0,4854204,14393269,35207785
kentucky,KY,2009,18875625,21471911,7487283,9740886,2857665,1806165,458548,3315368,389634,913506,2960372,1283370,0,0,-2596286,26853131,4769871,22083260,15067628,1941550,3803813,744925,525344,3747841,23019129,4769871,18249258,8866268,6842092,1262836,669338,1906011,183117,505941,322654,113587,801282,525344,1020659,30189,0,3803813,13364138,36835251
kentucky,KY,2008,20623791,20837802,6630599,10043875,2875836,1842681,457343,3483138,533630,851247,2777878,1385450,0,0,-214011,25662244,4700971,20961273,14208741,2486693,3058479,704306,503054,3736596,22603765,4700971,17902794,8718692,6198814,1100758,626189,2481003,193185,527311,373489,121487,840386,503054,919397,0,0,3058479,12209861,44584567
kentucky,KY,2007,25425505,20058220,6338156,9895207,2817636,1772659,459329,3041535,988065,815983,2513556,1311301,0,0,5367285,23738262,4526996,19211266,13304538,1916163,2817162,698908,474495,3532348,20921100,4526996,16394104,8021253,5827463,1007977,577490,2138616,191395,471523,361199,106225,779245,474495,964219,0,0,2817162,11645948,46587629
kentucky,KY,2006,23327921,19846603,6399632,9713808,2748643,1714451,494528,2918536,1001619,836031,2335430,1397733,0,0,3481318,22447101,4384427,18062674,12891177,1464192,2656954,618858,431493,3391317,19790147,4384427,15405720,7515040,5755500,867421,551618,1682420,187186,458835,379299,144018,798694,431493,1018623,0,0,2656954,9775059,39289527
